cip13,lib_cip13,remboursement_total,rang,remboursement_cumule,part_cumulee
3400933589950,OROKEN 40MG/5ML NR PDR ORALE 1,414488.91000000003,4124,23594326595.920002,96.53949764565675
3400939755878,ANTARENE CODEINE 400MG/60MG CPR 10,414186.05,4125,23594740781.97,96.54119234599227
3400930219911,AMOXICILLINE EGL 500MG GELULE 12,414082.91000000003,4126,23595154864.88,96.54288662431604
3400937832960,DIACOMIT 250MG PDR PR SUSP BUV 60,414018.99,4127,23595568883.87,96.54458064110213
3400930038017,FUROSEMIDE BGA 40 MG CPR 30,413845.14,4128,23595982729.01,96.54627394655657
3400934301551,KYTRIL 2MG CPR 1,413771.57,4129,23596396500.58,96.54796695098905
3400933117757,"ALPRESS LP 2,5MG CPR 30",413710.8,4130,23596810211.38,96.54965970677253
3400933529697,INOFER CPR 100,413610.15,4131,23597223821.53,96.55135205073239
3400930067567,COSIMPREL 5 MG/ 10 MG CPR 90,413596.59,4132,23597637418.12,96.55304433920963
3400930077429,MEDNUTRIFLEX OMEGA E PERF 1250ML 5,413568.14,4133,23598050986.26,96.55473651127971
3400939369204,OLANZAPINE EG 5 MG CPR 28,413450.69,4134,23598464436.95,96.55642820278665
3400930169476,GABAPENTINE VTS 800MG CPR 90,413337.47000000003,4135,23598877774.420002,96.55811943103807
3400930133255,PANTOPRAZOLE VIATRIS 20MG CPR FLC 28,413333.17,4136,23599291107.59,96.55981064169539
3400936593084,TERBINAFINE EG 250MG CPR 28,413296.61,4137,23599704404.2,96.56150170276238
3400932929252,BECONASE 50 MICROG SUSP NASALE 200 1,413235.49,4138,23600117639.69,96.5631925137483
3400930058350,CINACALCET ZEN 30 MG CPR 28,412783.77,4139,23600530423.46,96.56488147645848
3400933227210,FUCIDINE 250MG/5ML ENF SUSP BUV 90ML 1,412508.55,4140,23600942932.01,96.5665693130674
3400949914821,FENTANYL BGR 75MICROG/H DISP TRANSD 5,412123.92,4141,23601355055.93,96.56825557590872
3400949800308,METFORMINE EG 500MG CPR 30,411492.87,4142,23601766548.8,96.56993925672043
3400937630757,NICORETTE 4MG GOMME SS SUCRE 105,411147.1,4143,23602177695.9,96.57162152276567
3400930151297,MOMETASONE ZEN 50 MCG NAS 120 DOSE 1,411104.95,4144,23602588800.85,96.57330361634826
3400939144627,ALENDRONIQUE ACIDE TVS 70MG CPR 12,411012.3,4145,23602999813.15,96.57498533084038
3400932310135,CHRONO INDOCID 75 MG GELULE 20,410962.77999999997,4146,23603410775.93,96.57666684271446
3400926844165,DILTIAZEM BGR LP 200MG GELULE 90,410767.39,4147,23603821543.32,96.57834755512296
3400935780188,"GONAL F 1050UI/1,75ML PDR INJ ET SER 1",409470.62,4148,23604231013.94,96.58002296161506
3400930236635,PERINDOPRIL AMLO MYL 4/5 CPR 30,409344.81,4149,23604640358.75,96.58169785333789
3400934385247,CLIMASTON 2MG/10MG CPR 28,409217.42,4150,23605049576.170002,96.58337222382667
3400936407862,ABILIFY 15 MG CPR 28,408898.9,4151,23605458475.07,96.58504529104616
