cip13,lib_cip13,remboursement_total,boites_delivrees,cout_moyen_boite
3400936344846,EMTRIVA 10 MG/ML SOL BUV FL 170ML 1,6086.28,189,32.20253968253968
3400949000913,GRANOCYTE 34 MUI INJ SER AIP BBF 2 1,6123,78,78.5
3400937936859,FLUCONAZOLE ZYD 50MG GELULE 7,6142.21,691,8.888871201157743
3400930103999,EZETIMIBE ZEN 10MG CPR 90,6145.61,174,35.319597701149426
3400927584800,ATORVASTATINE VIATRIS 20MG CPR 90,6153.78,597,10.307839195979899
3400949002597,"AVODART 0,5MG CAPSULE (AIP) (MDW IT) 30",6159.28,801,7.689488139825218
3400927422959,RIZATRIPTAN SDZ 10MG CPR ORODISP 6,6177.64,1356,4.555781710914455
3400922481128,"VENLAFAXINE SUN LP 37,5MG GELULE 30",6215.18,1781,3.4897136440202137
3400938250084,ALENDRONIQUE ACIDE ALT 70MG CPR 12,6233.81,335,18.608388059701493
3400930002926,RABEPRAZOLE ALT 10MG CPR 28,6250.5,2101,2.975011899095669
3400922227917,REPAGLINIDE ACC 1MG CPR 90,6277.38,1019,6.160333660451423
3400930166048,RISEDRONATE ZYF 35MG CPR 12,6282.219999999999,316,19.880443037974683
3400930270554,FIXICAL VITAMINE D3 500 MG/400UI CPR 180,6294.6,586,10.741638225255974
3400949004577,LIPTRUZET 10 MG/10 MG CPR (AIP) 30,6300.82,270,23.336370370370368
3400938261370,GLIMEPIRIDE ZYD 4MG CPR 90,6368.13,472,13.491800847457627
3400934090141,CYPROTERONE MYL 50MG CPR 20,6376.36,965,6.607626943005181
3400935785152,DUOVA 1MG/5MG CPR 28,6398.63,1512,4.231898148148148
3400933961688,LARIAM 250MG CPR 8,6401.69,324,19.758302469135803
3400930224311,"DOSTINEX 0,5MG CPR 2",6410.7,1413,4.536942675159236
3400935296467,"BISOPROLOL BGR 7,5MG CPR 30",6420.15,1615,3.9753250773993805
3400921790788,"ZOLMITRIPTAN EG 2,5MG CPR ORODISP 6",6429.62,1437,4.474335421016005
3400938527841,LOSARTAN ZYD 50MG CPR 30,6450.1,2119,3.043935818782445
3400930021354,"ALMOTRIPTAN EG 12,5MG CPR 6",6474.96,1442,4.490263522884882
3400922063492,GLIMEPIRIDE EVO 2MG CPR 30,6486.0199999999995,1701,3.813062904174015
3400927371769,XENETIX 300 SOL INJ POC 150ML DISP 1,6529.83,147,44.42061224489796
3400921782455,"IRBESARTAN HCTZ MYP 150/12,5MG CPR 90",6537.53,795,8.223308176100629
3400930044520,VORICONAZOLE ACC 50MG CPR 28,6541.57,63,103.83444444444444
3400938866650,SIMVASTATINE AHL 40MG CPR 28,6547.21,2050,3.1937609756097562
3400933840471,"DOTAREM 0,5MMOL/ML SOL INJ SER 20ML 1",6593.01,200,32.96505
3400930113738,"METHOTREXATE ACC 7,5 MG SOL INJ 1",6593.02,696,9.472729885057472
3400949004249,SERETIDE DISKUS 100/50MICROG PDR AIP 60,6597.17,512,12.88509765625
3400941635267,MONTELUKAST CRT 5MG CPR CROQ 28,6620.95,1051,6.299666983824928
3400930098127,ENOXAPARINE CRU 8000UI/0.8ML SER 2,6636.26,728,9.115741758241759
3400930181706,FEBUXOSTAT ZYF 120MG CPR 28,6641.58,960,6.9183125
3400939650630,NICORETTESKIN 15MG/16H D TRANSDERM 7,6650.88,1580,4.209417721518988
3400938674033,FOSINOPRIL ZEN 10MG CPR 30,6660.77,2133,3.12272386310361
3400949003860,TRIFLUCAN 40 MG/ML PDR ORALE (AIP) 1,6660.87,96,69.3840625
3400927499432,LEVETIRACETAM ZYD 1 000MG CPR 60,6673.25,319,20.919278996865202
3400930236109,METFORMINE ACC 500 MG CPR PEL SEC 90,6680.24,1621,4.121061073411474
3400941715952,VALSARTAN EVO 160MG CPR 30,6689.41,2120,3.155382075471698
3400939668031,"OLANZAPINE SUN 7,5MG CPR 28",6706.46,617,10.869465153970827
3400930178966,CLARITHROMYCINE HCS 500MG CPR 10,6713.39,1260,5.328087301587302
3400927584510,ATORVASTATINE VIATRIS 10MG CPR 90,6741.7,686,9.827551020408164
3400930232859,FLUDROCORTISONE ACC 0.1MG CPR 30,6752.04,116,58.20724137931035
3400938934410,BISOPROLOL ALM 10MG CPR 90,6772.76,670,10.108597014925374
3400930274613,ANASTROZOLE ZEN 1MG CPR 90,6799.41,79,86.06848101265822
3400930066478,ATORVASTATINE EVP 10MG CPR 90,6811,687,9.914119359534206
3400930220238,FENTANYL BGA 600MICROG CPR SUBLING 30,6817.42,127,53.68047244094488
3400930004036,LEVETIRACETAM KRK 250 MG CPR 60,6861.15,512,13.40068359375
3400938952339,FOSINOPRIL TVC 10MG CPR 90,6866.1,812,8.455788177339901
3400926903169,NICOTINE EG 4MG GOMME MENT SS SUCRE 108,6883.89,797,8.637252195734003
3400935653468,VITAMINE E PRO 100 MG/2 ML SOL INJ 6,6886.02,1677,4.1061538461538465
3400932459209,IOPAMIRON 300 SOL INJ FL 200ML 1,6887.5999999999995,208,33.113461538461536
3400949500857,LYRICA 100 MG GELULE ADP BB FARMA 84,6905.62,234,29.511196581196582
3400928022417,"ALMOTRIPTAN TVC 12,5MG CPR 6",6909.4800000000005,1515,4.560712871287129
3400932783229,FRAXIPARINE 9500UI AXA/1ML SOL INJ 2,6911.33,563,12.27589698046181
3400930305331,DIAMOX 500 MG PDR ET SOL INJ 1,6917.51,613,11.28468189233279
3400927356513,MOXIFLOXACINE EG 400MG CPR 5,6925.7,1461,4.740383299110198
3400938095418,CIPROFLOXACINE CRP 500MG CPR 12,6933.05,1091,6.354766269477544
3400934086649,OPTIJECT 350 SOL INJ SER + P 100ML 1,6953.79,259,26.848610038610037
3400927384486,IRBESARTAN ACC 300MG CPR PELL 90,6968.67,780,8.934192307692308
3400930111727,ROSUVASTATINE KRK 20MG CPR 30,6973.63,1400,4.981164285714286
3400930274583,ANASTROZOLE ZEN 1MG CPR 30,7022.9,230,30.534347826086954
3400922200712,CANDESARTAN HCS 4MG CPR 30,7029.23,2166,3.245258541089566
3400930045671,QUETIAPINE SUN LP 300MG CPR 30,7035.9800000000005,477,14.750482180293503
3400936466654,EPREX 1000UI SOL INJ SER 6,7043.76,236,29.846440677966104
3400930025666,EPLERENONE ZYD 50MG CPR 30,7057.81,499,14.143907815631263
3400930272794,AMLODIPINE KRKA D.D 5MG CPR 90,7058.09,864,8.169085648148148
3400927938269,PREGABALINE PFZ 25 MG GELULE 84,7060.21,1282,5.507184087363495
3400937514514,NEBIVOLOL ARW 5MG CPR 30,7061.09,1840,3.8375489130434786
3400935045119,PERINDOPRIL KRK 8MG CPR 30,7068.72,2147,3.2923707498835584
3400930044629,"PERINDOPRIL INDAP ZYF 2/0,625 MG CPR 90",7081.95,867,8.16833910034602
3400930178980,CLARITHROMYCINE HCS 500MG CPR 14,7118.86,944,7.541165254237288
3400930100813,ZONISAMIDE TVC 50 MG GELULE 14,7131.66,1980,3.601848484848485
3400930056707,VORICONAZOLE BGA 50MG CPR 28,7133.549999999999,67,106.47089552238805
3400935745460,MOLSIDOMINE ARW 4MG CPR 90,7138.35,931,7.667400644468314
3400922064093,GLIMEPIRIDE EVO 3MG CPR 30,7151.48,1549,4.616836668818593
3400930058497,ZONISAMIDE SDZ 25 MG GELULE 14,7156.16,2038,3.5113640824337584
3400930154182,"METHOTREXATE ACC 2,5 MG CPR 24",7157.0599999999995,1604,4.462007481296758
